count,kraj_nuts,vakcina
19701,CZ051,Comirnaty
1941,CZ042,VAXZEVRIA
1981,CZ031,VAXZEVRIA
2359,CZ041,VAXZEVRIA
28710,CZ072,Comirnaty
2657,CZ051,Spikevax
1565,CZ020,COVID-19 Vaccine Janssen
809,CZ063,COVID-19 Vaccine Janssen
6142,CZ064,Spikevax
25806,CZ052,Comirnaty
1643,CZ032,Spikevax
3890,CZ063,VAXZEVRIA
3358,CZ071,VAXZEVRIA
737,CZ031,COVID-19 Vaccine Janssen
7804,CZ020,VAXZEVRIA
1914,CZ053,VAXZEVRIA
883,CZ032,COVID-19 Vaccine Janssen
4059,CZ071,Spikevax
6345,CZ010,VAXZEVRIA
9890,CZ041,Comirnaty
2850,CZ032,VAXZEVRIA
4207,CZ080,VAXZEVRIA
61288,CZ064,Comirnaty
1656,CZ064,COVID-19 Vaccine Janssen
3483,CZ072,Spikevax
40175,CZ042,Comirnaty
3831,CZ052,Spikevax
2993,CZ052,VAXZEVRIA
1322,CZ042,Spikevax
2794,CZ080,Spikevax
988,CZ072,COVID-19 Vaccine Janssen
26793,CZ071,Comirnaty
895,CZ053,Spikevax
927,CZ053,COVID-19 Vaccine Janssen
525,CZ041,Spikevax
1047,CZ051,VAXZEVRIA
3400,CZ072,VAXZEVRIA
2366,CZ031,Spikevax
4340,CZ020,Spikevax
24765,CZ063,Comirnaty
903,CZ052,COVID-19 Vaccine Janssen
159,CZ041,COVID-19 Vaccine Janssen
1384,CZ080,COVID-19 Vaccine Janssen
56492,CZ020,Comirnaty
4844,CZ064,VAXZEVRIA
86322,CZ010,Comirnaty
1674,CZ063,Spikevax
21771,CZ053,Comirnaty
636,CZ071,COVID-19 Vaccine Janssen
36292,CZ031,Comirnaty
28662,CZ032,Comirnaty
61984,CZ080,Comirnaty
836,CZ042,COVID-19 Vaccine Janssen
464,CZ051,COVID-19 Vaccine Janssen
7699,CZ010,Spikevax
1829,CZ010,COVID-19 Vaccine Janssen
